,image_path,image_id,label
50,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD46_1.jpg,CD46_1,Calcium Deficiency
51,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD46_2.jpg,CD46_2,Calcium Deficiency
52,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD47_1.jpg,CD47_1,Calcium Deficiency
53,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD47_2.jpg,CD47_2,Calcium Deficiency
54,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD48.jpg,CD48,Calcium Deficiency
55,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD49.jpg,CD49,Calcium Deficiency
56,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD51.jpg,CD51,Calcium Deficiency
57,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD52.jpg,CD52,Calcium Deficiency
58,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD53.jpg,CD53,Calcium Deficiency
59,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD57.jpg,CD57,Calcium Deficiency
60,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD59_1.jpg,CD59_1,Calcium Deficiency
61,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD59_2.jpg,CD59_2,Calcium Deficiency
62,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD60_1.jpg,CD60_1,Calcium Deficiency
63,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD60_2.jpg,CD60_2,Calcium Deficiency
64,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD60_3.jpg,CD60_3,Calcium Deficiency
65,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD60_4.jpg,CD60_4,Calcium Deficiency
66,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD62.jpg,CD62,Calcium Deficiency
67,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD65.jpg,CD65,Calcium Deficiency
68,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD66_1.jpg,CD66_1,Calcium Deficiency
69,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD66_2.jpg,CD66_2,Calcium Deficiency
70,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD67.jpg,CD67,Calcium Deficiency
71,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD68_1.jpg,CD68_1,Calcium Deficiency
72,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD68_2.jpg,CD68_2,Calcium Deficiency
73,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD69.jpg,CD69,Calcium Deficiency
74,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD70.jpg,CD70,Calcium Deficiency
75,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD71_1.jpg,CD71_1,Calcium Deficiency
76,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD71_2.jpg,CD71_2,Calcium Deficiency
77,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD72.jpg,CD72,Calcium Deficiency
78,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD73.jpg,CD73,Calcium Deficiency
79,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD74_1.jpg,CD74_1,Calcium Deficiency
80,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD74_2.jpg,CD74_2,Calcium Deficiency
81,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD75.jpg,CD75,Calcium Deficiency
82,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD76_1.jpg,CD76_1,Calcium Deficiency
83,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD76_2.jpg,CD76_2,Calcium Deficiency
84,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD76_3.jpg,CD76_3,Calcium Deficiency
85,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD77.jpg,CD77,Calcium Deficiency
86,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD79.jpg,CD79,Calcium Deficiency
87,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD80.jpg,CD80,Calcium Deficiency
88,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD81.jpg,CD81,Calcium Deficiency
89,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD82.jpg,CD82,Calcium Deficiency
90,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD83_1.jpg,CD83_1,Calcium Deficiency
91,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD83_2.jpg,CD83_2,Calcium Deficiency
92,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD85_1.jpg,CD85_1,Calcium Deficiency
93,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD85_2.jpg,CD85_2,Calcium Deficiency
94,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD85_3.jpg,CD85_3,Calcium Deficiency
95,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD84.jpg,CD84,Calcium Deficiency
96,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD86.jpg,CD86,Calcium Deficiency
97,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD87.jpg,CD87,Calcium Deficiency
98,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD88.jpg,CD88,Calcium Deficiency
99,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD90.jpg,CD90,Calcium Deficiency
100,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD91.jpg,CD91,Calcium Deficiency
101,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD92.jpg,CD92,Calcium Deficiency
102,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD101.png,CD101,Calcium Deficiency
103,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD102.jpg,CD102,Calcium Deficiency
104,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD104.jpg,CD104,Calcium Deficiency
105,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD105.jpg,CD105,Calcium Deficiency
106,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD106.jpg,CD106,Calcium Deficiency
107,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD108.jpg,CD108,Calcium Deficiency
108,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD109.jpg,CD109,Calcium Deficiency
109,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD110.jpg,CD110,Calcium Deficiency
110,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Calcium Deficiency/CD118.jpeg,CD118,Calcium Deficiency
111,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H15.jpg,H15,Healthy
112,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H73.jpg,H73,Healthy
113,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H72.jpg,H72,Healthy
114,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H70.jpg,H70,Healthy
115,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H46.jpg,H46,Healthy
116,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H130.jpg,H130,Healthy
117,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H166.jpg,H166,Healthy
118,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H196.jpg,H196,Healthy
119,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H13.jpg,H13,Healthy
120,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H1001.jpg,H1001,Healthy
121,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H1000.jpg,H1000,Healthy
122,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H164_1.jpg,H164_1,Healthy
123,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H164_2.jpg,H164_2,Healthy
124,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H296.jpg,H296,Healthy
125,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H164_3.jpg,H164_3,Healthy
126,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H297.jpg,H297,Healthy
127,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H165_1.jpg,H165_1,Healthy
128,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H298.jpg,H298,Healthy
129,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H299_1.jpg,H299_1,Healthy
130,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H299_2.jpg,H299_2,Healthy
131,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H168_1.jpg,H168_1,Healthy
132,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H168_2.jpg,H168_2,Healthy
133,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H300_1.jpg,H300_1,Healthy
134,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H169_1.jpg,H169_1,Healthy
135,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H169_2.jpg,H169_2,Healthy
136,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H301_1.jpg,H301_1,Healthy
137,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H171_1.jpg,H171_1,Healthy
138,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H302_1.jpg,H302_1,Healthy
139,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H302_2.jpg,H302_2,Healthy
140,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H302_3.jpg,H302_3,Healthy
141,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H303_1.jpg,H303_1,Healthy
142,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H303_2.jpg,H303_2,Healthy
143,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H172_1.jpg,H172_1,Healthy
144,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H304_1.jpg,H304_1,Healthy
145,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H173_1.jpg,H173_1,Healthy
146,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H304_2.jpg,H304_2,Healthy
147,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H174.jpg,H174,Healthy
148,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H304_3.jpg,H304_3,Healthy
149,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H175.jpg,H175,Healthy
150,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H176.jpg,H176,Healthy
151,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H305_1.jpg,H305_1,Healthy
152,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H177_1.jpg,H177_1,Healthy
153,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H3_1.jpg,H3_1,Healthy
154,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H305_2.jpg,H305_2,Healthy
155,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H177_2.jpg,H177_2,Healthy
156,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H3_2.jpg,H3_2,Healthy
157,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H178.jpg,H178,Healthy
158,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H3_3.jpg,H3_3,Healthy
159,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H306_1.jpg,H306_1,Healthy
160,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H306_2.jpg,H306_2,Healthy
161,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H6_1.jpg,H6_1,Healthy
162,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H7_1.jpg,H7_1,Healthy
163,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H182_1.jpg,H182_1,Healthy
164,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H307_1.jpg,H307_1,Healthy
165,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H182_2.jpg,H182_2,Healthy
166,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H307_2.jpg,H307_2,Healthy
167,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H182_3.jpg,H182_3,Healthy
168,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H9_1.jpg,H9_1,Healthy
169,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H307_3.jpg,H307_3,Healthy
170,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H183_1.jpg,H183_1,Healthy
171,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H12_1.jpg,H12_1,Healthy
172,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H308_1.jpg,H308_1,Healthy
173,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H183_2.jpg,H183_2,Healthy
174,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H308_2.jpg,H308_2,Healthy
175,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H184_1.jpg,H184_1,Healthy
176,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H308_3.jpg,H308_3,Healthy
177,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H33_1.jpg,H33_1,Healthy
178,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H309_1.jpg,H309_1,Healthy
179,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H186.jpg,H186,Healthy
180,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H309_2.jpg,H309_2,Healthy
181,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H38_1.jpg,H38_1,Healthy
182,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H309_3.jpg,H309_3,Healthy
183,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H187_1.jpg,H187_1,Healthy
184,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H38_2.jpg,H38_2,Healthy
185,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H187_2.jpg,H187_2,Healthy
186,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H310.jpg,H310,Healthy
187,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H43_1.jpg,H43_1,Healthy
188,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H187_3.jpg,H187_3,Healthy
189,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H311_1.jpg,H311_1,Healthy
190,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H44_1.jpg,H44_1,Healthy
191,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H311_2.jpg,H311_2,Healthy
192,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H311_3.jpg,H311_3,Healthy
193,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H44_2.jpg,H44_2,Healthy
194,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H188.jpg,H188,Healthy
195,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H189_1.jpg,H189_1,Healthy
196,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H312_1.jpg,H312_1,Healthy
197,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H48_1.jpg,H48_1,Healthy
198,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H189_2.jpg,H189_2,Healthy
199,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H312_2.jpg,H312_2,Healthy
200,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H48_2.jpg,H48_2,Healthy
201,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H190_1.jpg,H190_1,Healthy
202,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H48_3.jpg,H48_3,Healthy
203,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H313_1.jpg,H313_1,Healthy
204,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H191.jpg,H191,Healthy
205,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H49_1.jpg,H49_1,Healthy
206,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H313_2.jpg,H313_2,Healthy
207,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H192.jpg,H192,Healthy
208,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H313_3.jpg,H313_3,Healthy
209,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H50_1.jpg,H50_1,Healthy
210,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H314_1.jpg,H314_1,Healthy
211,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H314_2.jpg,H314_2,Healthy
212,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H198.jpg,H198,Healthy
213,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H53_1.jpg,H53_1,Healthy
214,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H199.jpg,H199,Healthy
215,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H53_2.jpg,H53_2,Healthy
216,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H314_3.jpg,H314_3,Healthy
217,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H53_3.jpg,H53_3,Healthy
218,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H316_1.jpg,H316_1,Healthy
219,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H53_4.jpg,H53_4,Healthy
220,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H205_1.jpg,H205_1,Healthy
221,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H316_2.jpg,H316_2,Healthy
222,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H205_2.jpg,H205_2,Healthy
223,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H57_1.jpg,H57_1,Healthy
224,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H206_1.jpg,H206_1,Healthy
225,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H57_2.jpg,H57_2,Healthy
226,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H317_1.jpg,H317_1,Healthy
227,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H206_2.jpg,H206_2,Healthy
228,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H59_1.jpg,H59_1,Healthy
229,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H317_2.jpg,H317_2,Healthy
230,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H60_1.jpg,H60_1,Healthy
231,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H207_1.jpg,H207_1,Healthy
232,/gdrive/MyDrive/Final_Project/Project_Code/image_copy4/Healthy/H60_2.jpg,H60_2,Healthy
